name,slug,description
Stabilizing influence,stabilizing-influence,"Once per long rest, give each ally a Stability die based on your Cybermancy Tier (Tier 1: d4, Tier 2: d6, Tier 3: d8, Tier 4: d10).  They may use that Stability die to augment one Reaction check to oppose a magical effect."
Stillpoint,stillpoint,"Spotlight an action to enter a quantum superposition state. While in Stillpoint, you cannot attack or move more than Very Close, but all allies within Very Close gain +2 Evasion and advantage on Reactions to spells, magical effects, and resonance-based effects from the Environment.  The state ends if you take damage or choose to release it."
Tar Pit,tar-pit,"<i>Your thoughts drag like they’re knee-deep in code molasses.</i><br /><br /><p class=""Card-Feature"">Locks your interface until you force-disconnect or spend Hope to break free.</p>"
The right drone for the job,the-right-drone-for-the-job,"<p class=""Card-Feature"">Once per long rest, change 1 mod on your Primary Drone</p>"
Two foci,two-foci,"<p class=""Card-Feature"">You are able to have 2 allies as your Primary Foci for your Protection assignment feature.</p>"
Wall of No!,wall-of-no,
Wall of Static,wall-of-static,
Whirlwind,whirlwind,"<p class=""Card-Feature"">Once per Scene, if you are wielding a melee weapon and gun (both of which must be one-handed), <strong>Spend 4 Hope</strong> to make 2 attacks with each against different targets (4 targets total – if there are not enough targets, you cannot use this ability).</p>"
You’re in my sights,you-re-in-my-sights,"<p class=""Card-Feature""><strong>Spend 1 Hope</strong> to make an adversary within Very Close your Primary Target. If that adversary attempts to leave Very Close range, you may move with them automatically on their Action. +2 to all your attacks and damage against that Primary Focus</p>"
Zero Mirror,zero-mirror,"<i>Weaponized intent rebounds—the system uses you.</i><br /><br /><p class=""Card-Feature"">Replicates your last command and turns it back on you.</p>"
